                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.4086,                 3.7046,                 1.3176,                  1.295,                0.49968,                0.27773,                0.27782,                0.16842,                0.39266,                0.21825,                0.16472,                0.06365,                 1.2123,                 3.9678,                 1.3688,                 1.1992,              0.0012874,              0.0012874,              0.0012874
                     25,                 1.4083,                 3.6846,                 1.3234,                 1.2994,                0.51329,                 0.2999,                0.29789,                 0.1727,                0.39177,                0.24096,                0.18045,                0.07024,                 1.1914,                 4.0377,                 1.3392,                 1.1567,              0.0012709,              0.0012709,              0.0012709
                     26,                 1.4195,                 3.6491,                 1.3066,                 1.2754,                0.48109,                0.29251,                0.29221,                0.17139,                0.37721,                0.22448,                0.17727,                0.06721,                   1.24,                 4.0237,                 1.4244,                 1.1856,              0.0012544,              0.0012544,              0.0012544
                     27,                 1.4037,                 3.6437,                 1.2853,                 1.2823,                0.52548,                0.29321,                0.29892,                0.17776,                0.41246,                0.22508,                0.17201,                0.06299,                 1.1206,                 4.1375,                 1.3379,                 1.1345,              0.0012379,              0.0012379,              0.0012379
                     28,                 1.3951,                 3.6602,                 1.2754,                 1.2804,                0.51419,                0.31566,                0.31686,                0.18352,                0.40806,                0.24658,                0.19589,                0.07344,                 1.1775,                 4.0171,                 1.3708,                 1.1562,              0.0012214,              0.0012214,              0.0012214
                     29,                 1.4001,                 3.6216,                 1.2893,                 1.2715,                0.52212,                0.27894,                 0.2873,                0.17384,                 0.3823,                0.21804,                0.15852,                0.05967,                 1.2194,                 4.0652,                  1.305,                 1.1991,              0.0012049,              0.0012049,              0.0012049
                     30,                 1.4075,                 3.6296,                  1.285,                 1.2739,                0.53863,                0.29019,                0.29648,                0.16955,                 0.4332,                0.23935,                0.19419,                0.07425,                 1.0975,                 3.9489,                 1.2734,                 1.1073,              0.0011884,              0.0011884,              0.0011884
                     31,                 1.3865,                 3.6025,                  1.273,                 1.2668,                0.53704,                0.29281,                0.29836,                0.17389,                0.40483,                0.23553,                0.17469,                0.06228,                 1.1658,                 4.1507,                 1.3707,                 1.1582,              0.0011719,              0.0011719,              0.0011719
                     32,                  1.356,                 3.5756,                 1.2733,                 1.2677,                0.46571,                0.27472,                0.27704,                0.17231,                0.35181,                0.21302,                0.15656,                0.05572,                 1.1306,                 3.9523,                 1.3663,                 1.1513,              0.0011554,              0.0011554,              0.0011554
                     33,                 1.3617,                 3.6008,                  1.272,                 1.2788,                0.57796,                0.26145,                0.28897,                0.17568,                0.39899,                0.21724,                0.17307,                0.06538,                 1.1891,                 4.0189,                 1.3616,                 1.1712,              0.0011389,              0.0011389,              0.0011389
                     34,                 1.3526,                 3.5959,                 1.2617,                 1.2762,                0.49308,                0.29281,                0.29448,                0.17905,                0.37026,                0.22106,                0.16237,                0.06301,                 1.1523,                 4.0324,                 1.3259,                 1.1397,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.4013,                 3.5792,                  1.289,                 1.2719,                0.54046,                0.29301,                0.30088,                 0.1786,                0.41122,                0.22588,                0.18092,                0.06684,                 1.1351,                 4.0095,                 1.4268,                 1.1421,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.3835,                 3.5461,                 1.2496,                 1.2603,                0.53531,                0.30486,                0.31658,                0.18584,                0.42192,                0.23453,                 0.1879,                  0.071,                 1.1891,                 3.9152,                 1.2584,                 1.1418,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.3908,                 3.5523,                 1.2711,                 1.2506,                0.52126,                0.30687,                0.30883,                0.17608,                0.41066,                0.24176,                0.20041,                0.07743,                 1.2058,                 3.9464,                 1.4211,                 1.1522,              0.0010729,              0.0010729,              0.0010729
